user_id,variant,session_ts,converted,revenue,pre_sessions_14d,pre_converted_14d
182,A,2025-02-01 09:00:00,0,0.0,12,1
195,B,2025-02-01 09:00:00,0,0.0,3,0
219,A,2025-02-01 09:00:00,0,0.0,7,0
236,B,2025-02-01 09:00:00,0,0.0,6,2
416,A,2025-02-01 09:00:00,0,0.0,4,0
698,B,2025-02-01 09:00:00,0,0.0,5,0
1010,B,2025-02-01 09:00:00,0,0.0,2,0
1036,A,2025-02-01 09:00:00,0,0.0,3,0
1056,A,2025-02-01 09:00:00,0,0.0,6,0
1094,B,2025-02-01 09:00:00,0,0.0,9,1
1237,B,2025-02-01 09:00:00,0,0.0,6,0
1546,B,2025-02-01 09:00:00,0,0.0,1,0
1574,A,2025-02-01 09:00:00,0,0.0,5,0
1693,A,2025-02-01 09:00:00,1,8.061998808206106,7,1
1756,A,2025-02-01 09:00:00,0,0.0,5,0
1849,A,2025-02-01 09:00:00,0,0.0,4,1
4,A,2025-02-01 10:00:00,0,0.0,3,1
87,B,2025-02-01 10:00:00,0,0.0,6,1
101,A,2025-02-01 10:00:00,0,0.0,4,0
281,B,2025-02-01 10:00:00,0,0.0,9,0
298,A,2025-02-01 10:00:00,0,0.0,6,1
457,A,2025-02-01 10:00:00,0,0.0,3,0
790,B,2025-02-01 10:00:00,0,0.0,4,1
872,B,2025-02-01 10:00:00,0,0.0,7,1
979,A,2025-02-01 10:00:00,0,0.0,4,0
1035,B,2025-02-01 10:00:00,0,0.0,4,0
1054,B,2025-02-01 10:00:00,0,0.0,4,1
1071,A,2025-02-01 10:00:00,0,0.0,2,0
1597,A,2025-02-01 10:00:00,0,0.0,4,0
1661,A,2025-02-01 10:00:00,0,0.0,3,0
1865,B,2025-02-01 10:00:00,0,0.0,3,0
1986,B,2025-02-01 10:00:00,0,0.0,3,0
9,B,2025-02-01 11:00:00,0,0.0,3,0
301,B,2025-02-01 11:00:00,0,0.0,4,0
349,B,2025-02-01 11:00:00,0,0.0,4,1
465,A,2025-02-01 11:00:00,0,0.0,5,0
631,B,2025-02-01 11:00:00,0,0.0,4,2
670,A,2025-02-01 11:00:00,0,0.0,5,0
694,A,2025-02-01 11:00:00,0,0.0,2,0
803,A,2025-02-01 11:00:00,0,0.0,6,1
879,B,2025-02-01 11:00:00,0,0.0,8,0
1081,B,2025-02-01 11:00:00,0,0.0,7,0
1141,B,2025-02-01 11:00:00,0,0.0,7,1
1304,B,2025-02-01 11:00:00,0,0.0,6,0
1514,A,2025-02-01 11:00:00,0,0.0,6,0
1655,A,2025-02-01 11:00:00,0,0.0,7,2
1988,B,2025-02-01 11:00:00,0,0.0,2,1
93,B,2025-02-01 12:00:00,0,0.0,5,1
117,B,2025-02-01 12:00:00,0,0.0,6,0
405,A,2025-02-01 12:00:00,0,0.0,3,0
522,A,2025-02-01 12:00:00,0,0.0,6,2
737,B,2025-02-01 12:00:00,0,0.0,3,0
764,A,2025-02-01 12:00:00,0,0.0,5,0
1668,B,2025-02-01 12:00:00,0,0.0,1,0
1917,B,2025-02-01 12:00:00,0,0.0,2,0
1959,B,2025-02-01 12:00:00,1,5.530874566400839,7,3
74,B,2025-02-01 13:00:00,0,0.0,5,1
241,B,2025-02-01 13:00:00,0,0.0,2,0
297,B,2025-02-01 13:00:00,0,0.0,8,1
444,A,2025-02-01 13:00:00,0,0.0,4,0
456,B,2025-02-01 13:00:00,0,0.0,3,0
789,A,2025-02-01 13:00:00,0,0.0,9,0
920,B,2025-02-01 13:00:00,0,0.0,5,1
1042,A,2025-02-01 13:00:00,0,0.0,5,1
1054,B,2025-02-01 13:00:00,0,0.0,4,1
1099,A,2025-02-01 13:00:00,0,0.0,3,1
1135,A,2025-02-01 13:00:00,0,0.0,1,0
1185,B,2025-02-01 13:00:00,0,0.0,4,1
1286,B,2025-02-01 13:00:00,0,0.0,5,1
1405,B,2025-02-01 13:00:00,0,0.0,4,0
1446,B,2025-02-01 13:00:00,0,0.0,2,0
1744,A,2025-02-01 13:00:00,0,0.0,3,1
1950,A,2025-02-01 13:00:00,0,0.0,4,0
1990,A,2025-02-01 13:00:00,0,0.0,6,1
103,B,2025-02-01 14:00:00,0,0.0,8,3
173,B,2025-02-01 14:00:00,0,0.0,7,0
253,A,2025-02-01 14:00:00,0,0.0,5,0
282,A,2025-02-01 14:00:00,0,0.0,3,1
515,B,2025-02-01 14:00:00,0,0.0,2,0
516,B,2025-02-01 14:00:00,0,0.0,8,0
684,A,2025-02-01 14:00:00,0,0.0,5,0
743,A,2025-02-01 14:00:00,0,0.0,9,0
762,A,2025-02-01 14:00:00,0,0.0,9,1
776,B,2025-02-01 14:00:00,0,0.0,3,0
872,B,2025-02-01 14:00:00,1,8.178989756092873,7,1
1191,B,2025-02-01 14:00:00,0,0.0,5,0
1292,A,2025-02-01 14:00:00,0,0.0,3,0
1314,A,2025-02-01 14:00:00,0,0.0,9,1
1444,B,2025-02-01 14:00:00,0,0.0,3,0
1485,B,2025-02-01 14:00:00,0,0.0,5,2
1556,B,2025-02-01 14:00:00,0,0.0,5,0
5,A,2025-02-01 15:00:00,0,0.0,5,1
202,A,2025-02-01 15:00:00,0,0.0,8,1
321,B,2025-02-01 15:00:00,0,0.0,8,1
334,B,2025-02-01 15:00:00,0,0.0,6,0
485,B,2025-02-01 15:00:00,0,0.0,8,1
668,A,2025-02-01 15:00:00,0,0.0,8,0
717,A,2025-02-01 15:00:00,1,7.953228665118216,7,2
747,B,2025-02-01 15:00:00,0,0.0,4,0
